player,tm,zone,stat,value,shots,percent,FGA
Megan Gustafson,DAL,left,FGM,0,made,0,0
Megan Huff,LVA,left,FGM,0,made,0,0
Megan Walker,NYL,left,FGM,0,made,0,2
Mercedes Russell,SEA,left,FGM,0,made,0,0
Mikiah Herbert Harrigan,MIN,left,FGM,1,made,100,1
Monique Billings,ATL,left,FGM,0,made,0,0
Morgan Tuck,SEA,left,FGM,0,made,0,2
Moriah Jefferson,DAL,left,FGM,0,made,0,0
Myisha Hines-Allen,WAS,left,FGM,0,made,0,1
Napheesa Collier,MIN,left,FGM,1,made,50,2
Natalie Achonwa,IND,left,FGM,0,made,0,0
Natasha Howard,SEA,left,FGM,1,made,100,1
Natisha Hiedeman,CON,left,FGM,0,made,0,0
Nia Coffey,PHO,left,FGM,0,made,0,1
Nneka Ogwumike,LAS,left,FGM,0,made,0,0
Odyssey Sims,MIN,left,FGM,0,made,0,0
Paris Kea,NYL,left,FGM,0,made,0,0
Rachel Banham,MIN,left,FGM,2,made,100,2
Reshanda Gray,LAS,left,FGM,0,made,0,0
Riquna Williams,LAS,left,FGM,6,made,60,10
Ruthy Hebard,CHI,left,FGM,0,made,0,0
Sabrina Ionescu,NYL,left,FGM,0,made,0,1
Sami Whitcomb,SEA,left,FGM,1,made,33.3,3
Satou Sabally,DAL,left,FGM,0,made,0,3
Seimone Augustus,LAS,left,FGM,0,made,0,0
Shatori Walker-Kimbrough,PHO,left,FGM,2,made,25,8
Shekinna Stricklen,ATL,left,FGM,0,made,0,2
Shenise Johnson,MIN,left,FGM,0,made,0,0
Shey Peddy,PHO,left,FGM,1,made,100,1
Skylar Diggins-Smith,PHO,left,FGM,2,made,40,5
Sophie Cunningham,PHO,left,FGM,2,made,40,5
Stefanie Dolson,CHI,left,FGM,0,made,0,0
Stella Johnson,WAS,left,FGM,0,made,0,0
Stephanie Mavunga,CHI,left,FGM,0,made,0,0
Sue Bird,SEA,left,FGM,3,made,100,3
Sug Sutton,WAS,left,FGM,0,made,0,0
Sugar Rodgers,LVA,left,FGM,0,made,0,0
Sydney Colson,CHI,left,FGM,0,made,0,0
Sydney Wiese,LAS,left,FGM,2,made,100,2
Sylvia Fowles,MIN,left,FGM,0,made,0,0
